cod_condutorinfrator;num_auto;dat_apresentdoc;dat_entradasistema
69139;"B088026809";"2007-02-07";"2007-02-12"
75314;"B092616887";"2007-02-07";"2007-03-12"
66182;"B092616917";"2007-01-15";"2007-02-01"
72272;"B089061861";"2007-01-30";"2007-02-27"
71308;"B092614604";"2007-02-06";"2007-02-22"
66431;"B086107867";"2007-02-02";"2007-02-02"
63581;"B086107909";"2007-01-16";"2007-01-24"
66730;"B084194472";"2007-02-01";"2007-02-05"
68672;"B084251298";"2007-02-02";"2007-02-09"
63511;"B084251328";"2007-01-24";"2007-01-24"
67491;"B086108204";"2007-02-06";"2007-02-06"
70750;"B091907942";"2007-02-07";"2007-02-16"
67096;"B087930668";"2007-02-01";"2007-02-05"
70043;"R005567106";"2007-01-31";"2007-02-14"
68039;"R005568781";"2007-01-23";"2007-02-07"
69847;"R005571177";"2007-02-03";"2007-02-14"
70666;"R005571375";"2007-02-04";"2007-02-16"
69485;"R005571456";"2007-01-25";"2007-02-13"
69866;"R005571618";"2007-01-31";"2007-02-14"
70480;"R005571693";"2007-02-01";"2007-02-15"
63298;"R005571782";"2007-01-23";"2007-01-23"
68870;"R005572584";"2007-01-31";"2007-02-12"
66951;"R005572592";"2007-02-04";"2007-02-05"
66481;"R005572606";"2007-01-26";"2007-02-02"
67133;"R005576962";"2007-02-02";"2007-02-05"
69024;"R005579333";"2007-02-05";"2007-02-12"
65681;"R005579414";"2007-01-18";"2007-01-30"
65715;"R005579437";"2007-01-22";"2007-01-30"
67118;"R005580218";"2007-02-02";"2007-02-05"
69153;"R005580907";"2007-02-04";"2007-02-12"
17783;"R005581621";"2007-01-24";"2007-01-25"
65667;"R005581656";"2007-01-23";"2007-01-30"
63816;"R005582307";"2007-01-19";"2007-01-24"
67486;"R005582563";"2007-02-01";"2007-02-06"
67455;"R005583101";"2007-01-24";"2007-02-06"
69418;"R005583594";"2007-01-18";"2007-02-13"
67104;"R005583632";"2007-01-29";"2007-02-05"
63771;"R005584132";"2007-01-17";"2007-01-24"
63394;"R005584248";"2007-01-19";"2007-01-24"
66463;"R005584698";"2007-01-23";"2007-02-02"
66636;"R005584817";"2007-02-04";"2007-02-02"
67136;"R005585097";"2007-02-04";"2007-02-05"
50863;"R005585187";"2007-01-24";"2007-01-25"
68015;"R005585198";"2007-02-01";"2007-02-07"
66638;"R005585201";"2007-01-29";"2007-02-02"
63416;"R005585651";"2007-01-19";"2007-01-24"
67120;"R005587263";"2007-02-02";"2007-02-05"
68017;"R005587425";"2007-02-04";"2007-02-07"
63430;"R005587638";"2007-01-22";"2007-01-24"
64009;"R005588189";"2007-01-24";"2007-01-25"
63384;"R005588308";"2007-01-19";"2007-01-24"
68047;"R005588917";"2007-02-01";"2007-02-07"
65496;"R005592107";"2007-01-23";"2007-01-30"
70038;"R005597277";"2007-01-29";"2007-02-14"
72314;"B089880877";"2007-02-07";"2007-02-27"
75541;"B092421199";"2007-02-05";"2007-03-12"
69077;"B092418546";"2007-02-05";"2007-02-12"
67171;"B092419283";"2007-01-19";"2007-02-06"
71820;"B092419291";"2007-02-07";"2007-02-26"
64632;"B089082966";"2007-01-26";"2007-01-29"
70263;"B092423767";"2007-02-08";"2007-02-15"
70263;"B092423779";"2007-02-08";"2007-02-15"
69686;"B092580424";"2007-01-26";"2007-02-14"
65081;"B084137327";"2007-01-22";"2007-01-29"
70060;"B083608338";"2007-02-07";"2007-02-15"
66411;"B084581646";"2007-01-22";"2007-02-02"
68269;"B084581662";"2007-01-29";"2007-02-08"
75793;"B084581689";"2007-02-13";"2007-03-13"
71059;"B083593257";"2007-01-30";"2007-02-22"
68897;"B092579213";"2007-02-01";"2007-02-12"
66969;"B092579317";"2007-02-06";"2007-02-05"
68695;"B092569501";"2007-02-01";"2007-02-09"
25404;"B092574416";"2007-01-21";"2007-02-08"
67733;"B092569382";"2007-02-02";"2007-02-07"
75315;"B092569397";"2007-02-07";"2007-03-12"
71872;"B092574467";"2007-02-08";"2007-02-26"
71144;"B068022336";"2007-02-15";"2007-02-22"
66689;"B092582443";"2007-01-22";"2007-02-05"
67229;"B092569967";"2007-01-24";"2007-02-06"
67893;"B092569994";"2007-01-22";"2007-02-07"
68648;"B092582486";"2007-02-05";"2007-02-09"
70512;"B092569137";"2007-02-08";"2007-02-16"
71168;"B092569145";"2007-02-01";"2007-02-22"
70238;"B092575684";"2007-01-31";"2007-02-15"
66475;"B092570697";"2007-01-26";"2007-02-02"
68970;"B092575692";"2007-01-31";"2007-02-12"
64395;"B078485266";"2007-01-25";"2007-01-26"
69390;"B092570727";"2007-01-31";"2007-02-13"
69567;"B092575714";"2007-01-25";"2007-02-14"
79868;"B089060527";"2007-02-08";"2007-03-28"
68417;"B092569037";"2007-02-06";"2007-02-08"
78167;"B078485327";"2007-02-08";"2007-03-22"
66271;"B092582311";"2007-01-18";"2007-02-01"
72275;"B089060598";"2007-01-30";"2007-02-27"
70115;"B092582338";"2007-02-07";"2007-02-15"
64370;"B085613637";"2007-01-23";"2007-01-26"
68064;"B078485339";"2007-02-07";"2007-02-07"
66002;"B078485347";"2007-01-26";"2007-01-31"
68542;"B084547421";"2007-02-05";"2007-02-09"
67469;"B078485371";"2007-02-06";"2007-02-06"
70736;"B092570387";"2007-02-07";"2007-02-16"
69531;"B084547448";"2007-02-08";"2007-02-13"
